CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,State,State Name,FIPS State Code,FIPS Place Code,Latitude,Longitude,Population,Population (2010),10 Year Population Growth,Population Density,Migration Rate Since Previous Year,Mean Travel Time,Public Transit,Bicycle,Walkability,Public Transit+Bicycle+Walkability,Per Capita Income,Median Household Income,Poverty Rate,Median Property Value,Employed Population,Employment Rate,Median Gross Rent,Median Owner Cost With Mortgage,Median Owner Cost Without Mortgage,Owner-Occupied Housing Unit Rate,Median Age,Population 0-9,Population 10-19,Population 20-29,Population 30-39,Population 40-49,Population 50-59,Population 60-69,Population 70-79,Population Over 80,Population Under 18,Population 18-64,Population Over 65,Percent Under 18,Percent 18-64,Percent Over 65,Percent 0-9,Percent 10-19,Percent 20-29,Percent 30-39,Percent 40-49,Percent 50-59,Percent 60-69,Percent 70-79,Percent Over 80,Age Diversity Index,Percent Under 30,Percent 10-29,Percent 18-29,High School Or Higher,Bachelor Or Higher,Postgrad Degree,Population White,Population Black,Population Native,Population Asian,Population Islander,Population Other,Population Two+,Population Hispanic,Race Diversity Index,Total Crime Rate,Violent Crime Rate,Property Crime Rate,Number of Events,Number of Events per Capita,Live Event Music Rate (LMER)
46100,"Tullahoma-Manchester, TN",Micropolitan Statistical Area,Manchester,TN,Tennessee,47,45500,35.4817432,-86.0885993,10721,10102.0,619.0,751.6,18.61,23.26,0.13,0.0,0.55,0.68,25793.0,50009.0,12.3,129700.0,4922,0.45909896464882,709.0,1010.0,417.0,52.0,35.2,1256.0,1625.0,1601.0,1465.0,1100.0,1201.0,1443.0,607.0,423.0,2467.0,6571.0,1683.0,23.01,61.29,15.7,11.72,15.16,14.93,13.66,10.26,11.2,13.46,5.66,3.95,0.123544790041027,41.81,30.09,18.8,83.23,20.57,8.37,9052.0,462.0,9.0,98.0,10.0,176.0,504.0,410.0,0.7187412902839594,3804.0,673.0,3131.0,433,0.04038802350527,0.04038802350527
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,South Burlington,VT,Vermont,50,66175,44.4669941,-73.1709604,19162,17904.0,1258.0,1161.9,16.31,17.49,2.31,1.63,3.43,7.37,43692.0,73065.0,6.63,307500.0,10843,0.5658595136207076,1401.0,1858.0,865.0,60.0,41.7,1643.0,1944.0,2832.0,2794.0,2473.0,2789.0,2000.0,1409.0,1278.0,3291.0,12335.0,3536.0,17.17,64.37,18.45,8.57,10.15,14.78,14.58,12.91,14.55,10.44,7.35,6.67,0.1192900379891679,33.5,24.93,16.33,95.65,55.71,20.89,16779.0,225.0,101.0,966.0,0.0,0.0,385.0,706.0,0.7712004171486936,3255.0,168.0,3088.0,687,0.0358522074939985,0.0358522074939985
41620,"Salt Lake City, UT",Metropolitan Statistical Area,Salt Lake City,UT,Utah,49,67000,40.7596198,-111.8867975,200546,186440.0,14106.0,1811.6,21.1,19.78,8.04,1.82,4.28,14.14,39695.0,63971.0,14.41,378300.0,111484,0.5559023864848962,985.0,1601.0,491.0,48.1,32.9,21671.0,20620.0,46284.0,35035.0,22477.0,20474.0,18266.0,9450.0,6269.0,36652.0,141011.0,22883.0,18.28,70.31,11.41,10.81,10.28,23.08,17.47,11.21,10.21,9.11,4.71,3.13,0.1405056414194639,44.17,33.36,25.89,90.0,47.15,21.05,127582.0,4855.0,3360.0,13357.0,6365.0,177.0,5097.0,39753.0,0.4509631716707611,8275.0,922.0,7352.0,4670,0.0232864280514196,0.0232864280514196
44460,"Steamboat Springs, CO",Micropolitan Statistical Area,Steamboat Springs,CO,Colorado,8,73825,40.4848003,-106.8317359,12928,12088.0,840.0,1307.7,15.32,16.34,4.25,6.9,6.19,17.34,46626.0,77419.0,12.18,584200.0,7808,0.6039603960396039,1374.0,2070.0,554.0,66.6,37.0,1094.0,1277.0,2348.0,2355.0,1512.0,1939.0,1401.0,651.0,351.0,2154.0,9124.0,1650.0,16.66,70.58,12.76,8.46,9.88,18.16,18.22,11.7,15.0,10.84,5.04,2.72,0.1342113429984214,36.5,28.04,19.84,96.43,56.35,18.24,11239.0,196.0,16.0,215.0,0.0,39.0,40.0,1183.0,0.7646571580167996,1469.0,150.0,1319.0,253,0.0195699257425742,0.0195699257425742
11700,"Asheville, NC",Metropolitan Statistical Area,Asheville,NC,North Carolina,37,2140,35.6009498,-82.5540161,92859,83393.0,9466.0,2037.6,18.87,17.9,1.12,0.7,3.94,5.76,32635.0,52339.0,15.4,329500.0,48494,0.5222326322704315,1043.0,1457.0,493.0,48.2,39.0,10401.0,10965.0,10300.0,16233.0,15299.0,9027.0,8854.0,6758.0,5022.0,18581.0,58318.0,15960.0,20.01,62.8,17.19,11.2,11.81,11.09,17.48,16.48,9.72,9.53,7.28,5.41,0.1232502376330218,34.099999999999994,22.9,14.089999999999993,91.65,48.91,17.36,71363.0,10284.0,384.0,1517.0,239.0,47.0,1532.0,6194.0,0.6252509590067735,6550.0,810.0,5741.0,1790,0.0192765375461721,0.0192765375461721
42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,Santa Cruz,CA,California,6,69112,37.050096,-121.9905908,64605,59946.0,4659.0,5070.9,28.12,23.55,6.99,7.58,11.93,26.5,42348.0,90855.0,17.54,945600.0,33258,0.514789876944509,1889.0,2886.0,649.0,47.0,26.7,4216.0,12664.0,18084.0,7564.0,6879.0,5681.0,4597.0,3692.0,1228.0,8869.0,49223.0,6513.0,13.73,76.19,10.08,6.53,19.6,27.99,11.71,10.65,8.79,7.12,5.71,1.9,0.1624915608691446,54.120000000000005,47.59,40.39,94.8,54.86,25.94,36609.0,894.0,86.0,6386.0,0.0,380.0,3687.0,16563.0,0.4000758729322527,3913.0,475.0,3438.0,1214,0.0187911152387586,0.0187911152387586
28580,"Key West, FL",Micropolitan Statistical Area,Key West,FL,Florida,12,36550,24.5625566,-81.7724368,24843,24649.0,194.0,4444.1,22.25,13.23,0.66,15.29,7.33,23.28,44387.0,69630.0,11.26,611400.0,13970,0.5623314414523206,1816.0,2949.0,860.0,40.7,40.9,2255.0,1926.0,3305.0,4411.0,3567.0,3554.0,2909.0,1940.0,976.0,3775.0,16857.0,4211.0,15.2,67.85,16.95,9.08,7.75,13.3,17.76,14.36,14.31,11.71,7.81,3.93,0.1258729489092637,30.13,21.05,14.93,91.72,35.64,14.66,14799.0,3331.0,22.0,497.0,0.0,0.0,298.0,5896.0,0.4296853526030275,2311.0,441.0,1870.0,426,0.0171476874773578,0.0171476874773578
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Burlington,VT,Vermont,50,10675,44.4761601,-73.212906,42545,42417.0,128.0,4128.0,35.1,18.64,5.34,5.54,22.21,33.09,28480.0,51394.0,26.42,284500.0,23990,0.5638735456575391,1213.0,1884.0,802.0,35.8,26.8,2656.0,7279.0,14048.0,4903.0,3484.0,3447.0,3373.0,2056.0,1299.0,5017.0,32464.0,5064.0,11.79,76.31,11.9,6.24,17.11,33.02,11.52,8.19,8.1,7.93,4.83,3.05,0.1782800712172068,56.370000000000005,50.13,44.580000000000005,92.23,53.26,21.57,35270.0,2327.0,66.0,2461.0,12.0,61.0,1028.0,1320.0,0.6951299679108875,2760.0,352.0,2408.0,716,0.0168292396286285,0.0168292396286285
27060,"Ithaca, NY",Metropolitan Statistical Area,Ithaca,NY,New York,36,38077,42.4396039,-76.4968019,30569,30014.0,555.0,5672.6,41.53,17.63,12.84,3.2,36.12,52.16,22600.0,34424.0,39.19,239100.0,14282,0.4672053387418626,1203.0,1903.0,766.0,25.8,21.9,1115.0,7281.0,13261.0,2650.0,1868.0,1754.0,1244.0,737.0,659.0,2416.0,26153.0,2000.0,7.9,85.55,6.54,3.65,23.82,43.38,8.67,6.11,5.74,4.07,2.41,2.16,0.2634679141406184,70.85,67.2,62.95,94.76,66.95,40.01,19687.0,1608.0,65.0,5251.0,0.0,209.0,1758.0,1991.0,0.4546163595609947,4058.0,317.0,3741.0,502,0.016421865288364,0.016421865288364
41860,"San Francisco-Oakland-Berkeley, CA",Metropolitan Statistical Area,Berkeley,CA,California,6,6000,37.8753497,-122.23963364918777,121353,112580.0,8773.0,11586.2,27.04,34.33,28.44,6.17,12.27,46.88,52932.0,95360.0,18.73,1168300.0,63322,0.5218000379059439,1722.0,3343.0,889.0,42.9,31.5,7305.0,17948.0,31838.0,17202.0,11738.0,10467.0,12317.0,9592.0,2946.0,14319.0,88163.0,18871.0,11.8,72.65,15.55,6.02,14.79,26.24,14.18,9.67,8.63,10.15,7.9,2.43,0.1483504241267378,47.05,41.03,35.25,96.39,76.54,41.32,65147.0,6843.0,271.0,27038.0,56.0,314.0,6815.0,14869.0,0.3591907322574381,4963.0,439.0,4524.0,1960,0.0161512282349838,0.0161512282349838
